Price,Close,High,Low,Open,Volume
Ticker,035720.KS,035720.KS,035720.KS,035720.KS,035720.KS
Date,,,,,
2025-02-14,38691.57421875,40538.78485887097,38342.10193548387,40488.860246975804,6091721
2025-02-17,38991.12109375,39290.66875900288,38741.4980393726,39041.04570462548,3131805
2025-02-18,38891.2734375,39290.67034058087,38541.801147304235,38891.2734375,2601628
2025-02-19,39240.74609375,39590.218387205794,38791.42457359256,39090.972253697524,2977884
2025-02-20,39690.06640625,40688.55864288522,39490.36795892296,39540.29257075472,4599415
2025-02-21,39839.83984375,40189.312123081145,39540.29217575188,39939.689066416046,2460853
2025-02-24,39490.3671875,39939.688685208595,39140.89491150442,39590.216409213026,1834667
2025-02-25,39690.06640625,39739.99101808176,39041.046452437105,39140.89567610063,1505555
2025-02-26,42036.5234375,42336.0711104513,39989.6143389994,40089.46356331651,7598359
2025-02-27,44382.98046875,44382.98046875,42735.46825787402,42835.317482775594,10185706
2025-02-28,43084.94140625,44632.60442316048,42585.69527176274,43634.112154185976,6591090
2025-03-04,41836.82421875,43384.48716717632,41287.65349511486,42935.165666020286,3387888
2025-03-05,43035.015625,43434.41252175174,42385.99566777842,42485.84489196636,2525062
2025-03-06,45032.0,45331.54767184036,42485.84478935698,43434.412416851446,6180767
2025-03-07,43750.0,44825.0,43450.0,44450.0,3099161
2025-03-10,45400.0,45950.0,43150.0,43500.0,4010592
2025-03-11,44100.0,44700.0,43550.0,43900.0,2486551
2025-03-12,44100.0,44650.0,43450.0,44250.0,1976354
2025-03-13,43150.0,44750.0,42350.0,44150.0,3269454
2025-03-14,43450.0,44050.0,43100.0,43100.0,1733603
2025-03-17,43500.0,43850.0,42300.0,43500.0,1693348
2025-03-18,44000.0,45050.0,43500.0,43700.0,2475410
2025-03-19,43300.0,44375.0,43100.0,44000.0,1642570
2025-03-20,42650.0,43950.0,42650.0,43500.0,1761461
2025-03-21,43600.0,43600.0,41900.0,42650.0,1900729
2025-03-24,41900.0,43500.0,41550.0,43350.0,1792693
2025-03-25,42200.0,42400.0,41750.0,42100.0,827099
